cand,f1,f2,slack_min,slack_mean,violation_mean,cost_var,method,param,score_classic,score_topsis
0,895.0,23.0,0.4000000000000057,3.0320000000000022,9.97440355940938,7.013205079109802,Pw,1.0,0.47281682428746863,0.15388612734109772
1,896.0,16.0,2.4000000000000057,5.032000000000002,6.219875603113945,7.011908767507416,Eps,34.10526315789474,0.7477421927367864,0.4635281929481433
2,905.0,8.0,0.4000000000000057,6.432000000000002,6.178540981324038,5.783917865971871,Pw,0.9473684210526315,0.6947677350768443,0.5384301958595946
3,908.0,7.0,0.4000000000000057,7.232000000000002,5.977520077863082,7.850961429484255,Pw,0.8421052631578947,0.5820784360482443,0.5540431111401503
4,936.0,6.0,2.4000000000000057,11.032000000000002,4.129194446535578,7.424971619594803,Pw,0.631578947368421,0.7830182101050687,0.7657478780713304
5,940.0,4.0,0.4000000000000057,9.232000000000003,5.2650438549595675,6.974320634316728,Pw,0.6842105263157894,0.6259394002006639,0.6212140536159986
6,944.0,3.0,0.4000000000000057,9.832000000000003,4.712451979731028,8.408414006054237,Pw,0.8421052631578947,0.5487122423872508,0.6313427282430273
7,946.0,2.0,1.4000000000000057,12.232000000000003,2.868314530536641,5.682017530185035,Pw,0.8421052631578947,0.8151866646182209,0.7900275957440859
8,1042.0,1.0,2.4000000000000057,13.832000000000003,1.813057281170925,9.131441673816475,Pw,0.3157894736842105,0.607328314641266,0.8486380857999992
9,1178.0,0.0,0.4000000000000057,11.632000000000001,3.389255289733106,6.39286007161977,Pw,0.0,0.4087848573074354,0.6628870367008994
